id_golden_boot,id_world_cup,id_player,Games,Goals
0,0,54,4,8
1,1,55,4,5
2,2,56,4,7
3,3,57,6,9
4,4,58,5,11
5,5,59,6,13
6,6,60,6,4
7,6,61,6,4
8,6,62,6,4
9,6,63,6,4
10,6,64,3,4
11,6,65,4,4
12,7,66,6,9
13,8,13,6,10
14,9,67,7,7
15,10,21,7,6
16,11,17,7,6
17,12,68,5,6
18,13,32,7,6
19,14,69,3,6
20,14,48,7,6
21,15,41,7,6
22,16,0,7,8
23,17,70,7,5
24,18,44,6,5
25,19,71,5,6
26,20,72,6,6
