id_bronze_ball,id_world_cup,id_player
0,10,46
1,11,47
2,12,null
3,13,31
4,14,48
5,15,49
6,16,50
7,17,51
8,18,52
9,19,53
10,20,7
11,9,null
12,8,null
13,7,null
14,6,null
15,5,null
16,4,null
17,3,null
18,2,null
19,1,null
20,0,null
