id_Extra_Time,id_game,Home_Score,Away_Score
0,1,0,0
1,2,0,1
2,3,1,0
3,6,0,0
4,10,2,0
5,13,2,0
6,19,1,0
7,40,0,2
8,47,0,0
9,48,0,0
10,49,1,0
11,50,0,0
12,51,0,0
13,52,0,1
14,53,0,0
15,54,1,0
16,55,0,1
17,56,0,0
18,57,0,0
19,58,0,0
20,59,1,0
21,60,1,1
22,61,0,0
23,62,0,1
24,63,0,0
25,64,0,0
26,65,0,0
