id_silver_ball,id_world_cup,id_player
0,10,17
1,11,38
2,12,null
3,13,39
4,14,40
5,15,41
6,16,0
7,17,42
8,18,43
9,19,44
10,20,45
11,9,null
12,8,null
13,7,null
14,6,null
15,5,null
16,4,null
17,3,null
18,2,null
19,1,null
20,0,null
