id,id_world_cup,id_team
0,8,56
1,9,8
2,10,14
3,11,4
4,12,4
5,13,33
6,14,4
7,15,33
8,15,27
9,16,22
10,17,4
11,17,9
12,18,9
13,19,3
14,20,9
15,7,null
16,6,null
17,5,null
18,4,null
19,3,null
20,2,null
21,1,null
22,0,null
